genre_id,genre_name
1,360 Video
2,Accounting
3,Action
4,Adventure
5,Animation & Modeling
6,Audio Production
7,Casual
8,Design & Illustration
9,Documentary
10,Early Access
11,Education
12,Episodic
13,Free To Play
14,Game Development
15,Gore
16,Indie
17,Massively Multiplayer
18,Movie
19,Nudity
20,Photo Editing
21,RPG
22,Racing
23,Sexual Content
24,Short
25,Simulation
26,Software Training
27,Sports
28,Strategy
29,Tutorial
30,Utilities
31,Video Production
32,Violent
33,Web Publishing
